gpsimgdirection,gpspitch,gpsroll,datetimeoriginal,gpslatitude,gpslongitude,gps_sec_s_,file_name,x_m_,y_m_,z_m_,x,y,z,URL
"105.33608833265460","-3.06256563395773","0.67308099422584","296262.92013","6.891054141547041","46.988164839256804",296263,20200408_105231_002473,"2558344.24899999980000","1204268.42600000000000","542.92700000000002","2558344","1204268","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002473.jpg
"120.75741376647538","-3.44881287841539","0.35132469622218","296275.48501","6.891069475486608","46.98815908369343",296276,20200408_105231_002486,"2558345.41099999980000","1204267.77799999990000","542.90700000000004","2558345","1204267","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002486.jpg
"125.80201937944973","-3.30917771578333","0.52684344960338","296261.98519","6.891113872410953","46.98814321257992",296262,20200408_105231_002472,"2558348.77600000010000","1204265.99000000000000","542.82799999999997","2558348","1204265","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002472.jpg
"149.45692643214625","-3.56477281424540","-0.37085833564433","296274.49005","6.891110815232666","46.98812722223831",296275,20200408_105231_002485,"2558348.53100000000000","1204264.21399999990000","542.79800000000000","2558348","1204264","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002485.jpg
"139.85115557062355","-3.71491390920895","1.00435804979435","296261.05033","6.891162676933692","46.98811024443297",296261,20200408_105231_002471,"2558352.46300000000000","1204262.29900000010000","542.68799999999999","2558352","1204262","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002471.jpg
"141.74452837838709","-3.59467767645307","1.28705200296758","296260.09526","6.891206526713238","46.988073303600935",296260,20200408_105231_002470,"2558355.77000000000000","1204258.16900000000000","542.56799999999998","2558355","1204258","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002470.jpg
"128.51935513387306","-4.34707807831576","1.80231051829006","296259.13522","6.891256315690432","46.98804175239294",296259,20200408_105231_002469,"2558359.53299999980000","1204254.63500000000000","542.38800000000003","2558359","1204254","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002469.jpg
"177.70168732213151","-3.47899416132296","-1.42959741682080","296273.48512","6.8911255073006705","46.98808523939908",296274,20200408_105231_002484,"2558349.61599999990000","1204259.53900000010000","542.67800000000000","2558349","1204259","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002484.jpg
"205.32021643443022","-3.36518485751456","-2.06819246596021","296272.49501","6.89110920554309","46.98804293728127",296273,20200408_105231_002483,"2558348.34299999990000","1204254.84500000000000","542.57799999999997","2558348","1204254","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002483.jpg
"90.79272427331836","-3.07935857925469","0.70723171981814","296276.42994","6.891010661461854","46.988173320575456",296276,20200408_105231_002487,"2558340.94799999990000","1204269.39200000000000","542.98699999999997","2558340","1204269","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002487.jpg
"82.18062457092596","-2.35975019994312","0.97474469354680","296263.84013","6.890987286763576","46.988169655501544",296264,20200408_105231_002474,"2558339.16699999990000","1204268.99700000000000","542.99699999999996","2558339","1204268","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002474.jpg
"63.69150831830616","-2.18700958182123","0.25968053570625","296277.25495","6.890948700686148","46.98816618744486",296277,20200408_105231_002488,"2558336.22899999980000","1204268.63200000000000","543.01700000000005","2558336","1204268","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002488.jpg
"59.05267988893915","-1.61002922741857","0.58580437715318","296264.71516","6.890923509933778","46.98815628889311",296265,20200408_105231_002475,"2558334.30500000020000","1204267.54499999990000","543.00699999999995","2558334","1204267","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002475.jpg
"47.90042540213887","-1.68949247621830","0.81000333130467","296277.98499","6.890895872629004","46.9881413952063",296278,20200408_105231_002489,"2558332.19100000010000","1204265.90400000010000","542.98699999999997","2558332","1204265","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002489.jpg
"41.93285436436538","-1.55504126288140","1.36660109640431","296278.64496","6.89085129129085","46.988109743020814",296279,20200408_105231_002490,"2558328.77499999990000","1204262.40900000000000","542.93700000000001","2558328","1204262","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002490.jpg
"36.56613856929743","-1.10834275148545","0.14929005136565","296265.58010","6.890872940731452","46.9881278553565",296266,20200408_105231_002476,"2558330.43600000020000","1204264.41100000010000","542.95699999999999","2558330","1204264","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002476.jpg
"41.42989897568567","-1.93043335643207","2.14541054759209","296279.28500","6.890810402813906","46.98807562579387",296279,20200408_105231_002491,"2558325.63799999980000","1204258.63800000000000","542.87699999999995","2558325","1204258","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002491.jpg
"7.62402344400343","-0.94572023721061","-0.80450390873600","296266.52513","6.890845064026904","46.98808881704319",296267,20200408_105231_002477,"2558328.28500000010000","1204260.08599999990000","542.87699999999995","2558328","1204260","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002477.jpg
"336.80161331125640","-0.46082494082666","-0.78419741567140","296267.57009","6.890850166441469","46.98804621260808",296268,20200408_105231_002478,"2558328.64000000010000","1204255.34700000010000","542.77700000000004","2558328","1204255","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002478.jpg
"45.91733598801660","-1.99713899134558","2.92902299841001","296279.90993","6.89076835193762","46.98804206069445",296280,20200408_105231_002492,"2558322.41300000020000","1204254.92900000000000","542.85699999999997","2558322","1204254","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002492.jpg
"66.43096563963145","-2.85640294652553","2.74325394712213","296284.06491","6.8903744962040365","46.98788960957869",296284,20200408_105231_002499,"2558292.33300000010000","1204238.19100000010000","543.23699999999997","2558292","1204238","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002499.jpg
"246.85221749573279","-1.56688287453433","-2.10237971688349","295636.61266","6.8904222064519045","46.98787238732441",295637,20200408_105231_001354,"2558295.94900000000000","1204236.25099999990000","543.09699999999998","2558295","1204236","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001354.jpg
"63.70856794362437","-3.91851502606030","2.21360369673394","296284.63490","6.8903150020554635","46.987870137336635",296285,20200408_105231_002500,"2558287.79199999990000","1204236.05800000000000","543.28599999999994","2558287","1204236","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002500.jpg
"61.08597414598189","-3.49415826807851","2.22763791395636","296285.17986","6.890257224351521","46.98784864934335",296285,20200408_105231_002501,"2558283.37999999990000","1204233.70000000000000","543.39599999999996","2558283","1204233","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002501.jpg
"58.40666614964563","-3.42146766724766","2.25751099795306","296285.71487","6.890200911227102","46.987825351286354",296286,20200408_105231_002502,"2558279.07800000020000","1204231.13999999990000","543.48599999999999","2558279","1204231","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002502.jpg
"241.30270516576124","-1.28705607337082","-2.21880089914220","295634.65768","6.890246842598328","46.98780854335582",295635,20200408_105231_001351,"2558282.55899999990000","1204229.24700000000000","543.33699999999999","2558282","1204229","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001351.jpg
"56.46340831640049","-3.55426223182231","2.02207786022683","296286.24487","6.890145798408476","46.98780037683033",296286,20200408_105231_002503,"2558274.86599999990000","1204228.39299999990000","543.56600000000003","2558274","1204228","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002503.jpg
"240.08270178811480","-1.15362298185655","-2.14281094576469","295634.07271","6.890190134808579","46.98778527938209",295634,20200408_105231_001350,"2558278.22700000000000","1204226.69100000010000","543.44600000000003","2558278","1204226","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001350.jpg
"238.94769602594991","-1.04917216754939","-1.81126667027283","295633.49772","6.8901338820048625","46.9877612349681",295634,20200408_105231_001349,"2558273.92900000000000","1204224.04800000000000","543.54600000000005","2558273","1204224","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001349.jpg
"242.72307959350059","-1.08855605947115","-2.00881718095704","295635.26768","6.890304542466976","46.98783120936993",295635,20200408_105231_001352,"2558286.96600000000000","1204231.73600000000000","543.24699999999996","2558286","1204231","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001352.jpg
"244.66801587724905","-1.42431058325141","-1.94047074823084","295635.91770","6.890363069885077","46.987852655956566",295636,20200408_105231_001353,"2558291.43500000010000","1204234.08899999990000","543.15700000000004","2558291","1204234","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001353.jpg
"256.45753661591402","-1.30581418161140","-1.42476408725162","295639.39763","6.890668452212016","46.987934834534414",295639,20200408_105231_001358,"2558314.73000000000000","1204243.06199999990000","542.77700000000004","2558314","1204243","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001358.jpg
"253.97423273660252","-1.11809441930891","-2.05223504541033","295638.74763","6.8906057255773465","46.98792164368944",295639,20200408_105231_001357,"2558309.94799999990000","1204241.62900000000000","542.89700000000005","2558309","1204241","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001357.jpg
"249.27537586649746","-2.04713459442740","-2.44153972640675","295637.35267","6.890482674114281","46.98789050588115",295637,20200408_105231_001355,"2558300.56300000010000","1204238.23300000000000","543.00699999999995","2558300","1204238","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001355.jpg
"68.84928942621154","-2.65806453937915","2.35240386068716","296283.47988","6.890435121239186","46.98790776489615",296283,20200408_105231_002498,"2558296.95899999980000","1204240.17699999990000","543.17700000000002","2558296","1204240","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002498.jpg
"69.76611882245398","-2.68766346652230","2.72802032562203","296282.89499","6.890496223414999","46.987924258331596",296283,20200408_105231_002497,"2558301.62000000010000","1204241.97799999990000","543.10699999999997","2558301","1204241","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002497.jpg
"251.67582770857038","-2.01786675298579","-2.50663522921272","295638.07768","6.89054392179851","46.987906910035356",295638,20200408_105231_001356,"2558305.23499999990000","1204240.02400000000000","542.95699999999999","2558305","1204240","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001356.jpg
"67.56155980662882","-2.40959982549242","3.07193606626174","296282.29993","6.890556657801625","46.98794178299743",296282,20200408_105231_002496,"2558306.23100000010000","1204243.89400000010000","543.07700000000000","2558306","1204243","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002496.jpg
"63.78893177620996","-2.97122073433685","3.28904676494955","296281.71492","6.890614833584946","46.98796164459066",296282,20200408_105231_002495,"2558310.67199999980000","1204246.07100000000000","543.00699999999995","2558310","1204246","543",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002495.jpg
"259.56233505915077","-2.15268934912679","-1.37040747401929","295640.01278","6.890732161546644","46.98794577222428",295640,20200408_105231_001359,"2558319.58500000000000","1204244.24399999990000","542.65700000000004","2558319","1204244","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001359.jpg
"58.94963342689898","-3.25540077302675","3.97913956276398","296281.12990","6.890670431428826","46.98798421938881",296281,20200408_105231_002494,"2558314.91900000020000","1204248.55100000000000","542.92700000000002","2558314","1204248","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002494.jpg
"52.43530598058727","-3.14152640107918","3.55485282932602","296280.52993","6.890721738446175","46.98801118131691",296281,20200408_105231_002493,"2558318.84299999990000","1204251.52099999990000","542.86699999999996","2558318","1204251","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002493.jpg
"307.07836558480085","-1.30768081299085","-1.58117196715750","296268.60510","6.890886083136239","46.98801119488517",296269,20200408_105231_002479,"2558331.34500000020000","1204251.43500000010000","542.63800000000003","2558331","1204251","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002479.jpg
"264.81710157017517","-1.89487903144040","-0.81364458946243","295641.12264","6.89086235169922","46.987961444996884",295641,20200408_105231_001361,"2558329.50100000020000","1204245.91699999990000","542.54800000000000","2558329","1204245","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001361.jpg
"262.20497112753168","-2.31907360884514","-1.04265394501246","295640.58287","6.89079690449695","46.98795461891726",295641,20200408_105231_001360,"2558324.51700000000000","1204245.19300000000000","542.58799999999997","2558324","1204245","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001360.jpg
"269.60221159269463","-2.10534087643791","-1.02615521413196","295642.17265","6.8909942449236254","46.98796869715073",295642,20200408_105231_001363,"2558339.54000000000000","1204246.65299999990000","542.45799999999997","2558339","1204246","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001363.jpg
"267.45086426337809","-2.15806895394218","-0.87864738716414","295641.65264","6.8909281498917245","46.987966086854456",295642,20200408_105231_001362,"2558334.50999999980000","1204246.39800000000000","542.50800000000004","2558334","1204246","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_001362.jpg
"280.28375356464471","-1.58881724881174","-2.30538575710534","296269.60002","6.890942782113468","46.98799166768028",296270,20200408_105231_002480,"2558335.64300000020000","1204249.23399999990000","542.55799999999999","2558335","1204249","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002480.jpg
"255.43280281002794","-2.12725186400714","-2.64759769583111","296270.57003","6.891007224622194","46.98799133757785",296271,20200408_105231_002481,"2558340.54499999990000","1204249.16299999990000","542.50800000000004","2558340","1204249","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002481.jpg
"231.09920464171159","-2.88114411533330","-2.41451675819368","296271.52503","6.891066468858689","46.988009575901465",296272,20200408_105231_002482,"2558345.06600000010000","1204251.15900000000000","542.50800000000004","2558345","1204251","542",https://sitn.ne.ch/web/images/photos360/assets/textures/20200408_105231_002482.jpg
